['(3.0517578125e-05,6.103515625e-05)', '(0.48126220703125,0.481292724609375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481292724609375,0.4813232421875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481201171875,0.481231689453125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481231689453125,0.48126220703125)']
['(9.1552734375e-05,0.0001220703125)', '(0.481201171875,0.481231689453125)']
['(9.1552734375e-05,0.0001220703125)', '(0.481231689453125,0.48126220703125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48126220703125,0.481292724609375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481292724609375,0.4813232421875)']
['(9.1552734375e-05,0.0001220703125)', '(0.48126220703125,0.481292724609375)']
['(9.1552734375e-05,0.0001220703125)', '(0.481292724609375,0.4813232421875)']
['(0,3.0517578125e-05)', '(0.4813232421875,0.481353759765625)']
['(0,3.0517578125e-05)', '(0.481353759765625,0.48138427734375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4813232421875,0.481353759765625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481353759765625,0.48138427734375)']
['(0,3.0517578125e-05)', '(0.48138427734375,0.481414794921875)']
['(0,3.0517578125e-05)', '(0.481414794921875,0.4814453125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48138427734375,0.481414794921875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481414794921875,0.4814453125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4813232421875,0.481353759765625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481353759765625,0.48138427734375)']
['(9.1552734375e-05,0.0001220703125)', '(0.4813232421875,0.481353759765625)']
['(9.1552734375e-05,0.0001220703125)', '(0.481353759765625,0.48138427734375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48138427734375,0.481414794921875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481414794921875,0.4814453125)']
['(9.1552734375e-05,0.0001220703125)', '(0.48138427734375,0.481414794921875)']
['(9.1552734375e-05,0.0001220703125)', '(0.481414794921875,0.4814453125)']
['(0.0001220703125,0.000152587890625)', '(0.481201171875,0.481231689453125)']
['(0.0001220703125,0.000152587890625)', '(0.481231689453125,0.48126220703125)']
['(0.0001220703125,0.000152587890625)', '(0.48126220703125,0.481292724609375)']
['(0.0001220703125,0.000152587890625)', '(0.481292724609375,0.4813232421875)']
['(0.0001220703125,0.000152587890625)', '(0.4813232421875,0.481353759765625)']
['(0.0001220703125,0.000152587890625)', '(0.481353759765625,0.48138427734375)']
['(0.0001220703125,0.000152587890625)', '(0.48138427734375,0.481414794921875)']
['(0.0001220703125,0.000152587890625)', '(0.481414794921875,0.4814453125)']
['(0,3.0517578125e-05)', '(0.4814453125,0.481475830078125)']
['(0,3.0517578125e-05)', '(0.481475830078125,0.48150634765625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4814453125,0.481475830078125)']
